NOMBRE;DIRECCION;TELEFONOS;HORARIOS;TIPO_SERVICIO;X;Y
Agencia de Quinielas 06/043;China 2258;23110112;Horario de atención del local;Recarga;567422.195287011;6139797.51293721
Agencia de Quinielas 80/016;Concordia 4226;23089453;Horario de atención del local;Recarga;569602.268278748;6140993.93070801
Agencia de Quinielas 40/022;Tapes 1038;98523288;Horario de atención del local;Recarga;573457.927595813;6140001.93948169
Agencia de Quinielas 41/029;Av Italia 5758;26006714;Horario de atención del local;Recarga;583828.460734718;6139546.75162217
Agencia de Quinielas 43/006;Av Carlos Maria Ramirez 179;23041585;Horario de atención del local;Recarga;570874.352773787;6142545.70184599
Agencia de Quinielas 43/023;Castro, Cno.;23091583;Horario de atención del local;Recarga;571875.9960756716;6142110.475566572
Agencia de Quinielas 58/006;Paraguay 1376;29015453;Horario de atención del local;Recarga;573776.452933989;6137136.35852056
Agencia de Quinielas 48/011;Av Gral Flores 4151;22150496;Horario de atención del local;Recarga;576674.502728738;6142911.01848533
Agencia de Quinielas 88/031;Av Gral Flores 3646;22158138;Horario de atención del local;Recarga;576091.384578935;6141995.36428649
Agencia de Quinielas 15/008;Concordia 4341;;Horario de atención del local;Recarga;569457.331361314;6141262.75232763
Agencia de Quinielas 48/041;Hum 3324;22152356;Horario de atención del local;Recarga;576667.584178617;6143165.93699973
Agencia de Quinielas 48/030;Arena, Cno. Dr. Domingo 4130;22275427;Horario de atención del local;Recarga;578648.550957553;6146921.60954644
Agencia de Quinielas 08/046;Rondeau, Av. Gral. Jose 2133;094715140;Horario de atención del local;Recarga;573725.124920767;6138760.31606542
Agencia de Quinielas 51/003;Martinez Trueba, Andres 1277 Bis;24108174;Horario de atención del local;Recarga;574606.600592661;6137035.46604352
Agencia de Quinielas 52/015;Lorenzo Batlle Pacheco 4480;22228962;Horario de atención del local;Recarga;578784.823009697;6146398.40860816
Agencia de Quinielas 53/001;Aguilar, Gral. 1130;22036079;Horario de atención del local;Recarga;573636.666107118;6139407.60528098
Agencia de Quinielas 64/031;Torricelli 4556;;Horario de atención del local;Recarga;576628.140265665;6143872.17920947
Agencia de Quinielas 53/014;Bv Gral Artigas;24822910;Horario de atención del local;Recarga;576168.057846562;6140047.11403105
Agencia de Quinielas 53/027;Av 8 De Octubre 2487 Bis;24815663;Horario de atención del local;Recarga;576440.195107496;6138510.46195245
Agencia de Quinielas 45/048;Perez, Leon 3549;095952074;Horario de atención del local;Recarga;576121.755416498;6142779.21283012
Agencia de Quinielas 51/002;Sorata 3862;098928397;Horario de atención del local;Recarga;575689.998826928;6143724.1512938
Agencia de Quinielas 64/029;Possolo, Jose A. 4051;22154401;Horario de atención del local;Recarga;576798.645766887;6144230.19644739
Agencia de Quinielas 62/044;Bv Gral Artigas 3821;22031379;Horario de atención del local;Recarga;574318.269289631;6140931.36827767
Agencia de Quinielas 63/020;Cassinoni, Mario. 1682 Bis;24099362;Horario de atención del local;Recarga;576198.482206626;6138157.80026358
Agencia de Quinielas 83/035;Carreras Nacionales 3290;25149573;Horario de atención del local;Recarga;578474.462856222;6143049.38731662
Agencia de Quinielas 28/024;Galvani 4693;22150032;Horario de atención del local;Recarga;577174.01837745;6143896.10284859
Agencia de Quinielas 64/006;Centenario, Av. 3092;24804368;Horario de atención del local;Recarga;577474.859553567;6139585.98104655
Agencia de Quinielas 89/003;Bv Aparicio Saravia 4677;23559122;Horario de atención del local;Recarga;572886.852085192;6145973.81911441
Agencia de Quinielas 65/050;De Maria,Dr. Pablo 1592;24015335;Horario de atención del local;Recarga;575540.370221916;6137734.93851257
Agencia de Quinielas 13/013;Av Dr Luis Alberto De Herrera 3867;22094752;Horario de atención del local;Recarga;574996.083785705;6141831.38369871
Agencia de Quinielas 03/013;Burgues, Av. 2959;099024335;Horario de atención del local;Recarga;574392.150392177;6140900.93499246
Agencia de Quinielas 68/046;Colman, Cno. Carmelo;23243484;Horario de atención del local;Recarga;571059.3967129956;6149040.53927465
Agencia de Quinielas 71/011;Maldonado, Cno. 4872;25113794;Horario de atención del local;Recarga;579360.810726468;6142613.10237405
Agencia de Quinielas 15/013;Burgues, Av. 3352 Bis;22030396;Horario de atención del local;Recarga;574331.459268272;6141869.73911274
Agencia de Quinielas 01/020;Rio Branco 1434;29001316;Horario de atención del local;Recarga;573463.358742643;6137229.26642931
Agencia de Quinielas 03/035;Grecia 4151;95982816;Horario de atención del local;Recarga;568450.492225449;6140368.57665431
Agencia de Quinielas 04/018;Convencion 1492;29022723;Horario de atención del local;Recarga;573347.42108544;6137343.9857324
Agencia de Quinielas 44/018;Marquez, Ramon 3256;22086291;Horario de atención del local;Recarga;574445.415256583;6141696.57843585
Agencia de Quinielas 05/001;Zufriategui, Pablo 952;23052743;Horario de atención del local;Recarga;571905.5781838294;6141803.0389162395
Agencia de Quinielas 05/037;Av Agraciada 3702;23053073;Horario de atención del local;Recarga;572199.824954883;6141744.16340165
Agencia de Quinielas 30/003;San Martin, Av. Gral. 4097 Bis;097077074;Horario de atención del local;Recarga;575815.774416371;6143233.5769349
Agencia de Quinielas 08/008;Comercio 2529;25084674;Horario de atención del local;Recarga;578339.637749593;6140305.50234321
Agencia de Quinielas 83/011;Darwin 3461;22007531;Horario de atención del local;Recarga;574718.625720333;6142165.14584462
Agencia de Quinielas 62/032;Bv Gral Artigas 3796;22035831;Horario de atención del local;Recarga;574450.57280509;6140970.33045396
Agencia de Quinielas 85/005;Carabelas 3310;22037006;Horario de atención del local;Recarga;574849.382733922;6141766.26222596
Agencia de Quinielas 62/039;Soler, Mariano 3315;22031602;Horario de atención del local;Recarga;574725.017067369;6141805.53973293
Agencia de Quinielas 09/014;Av 8 De Octubre 3343 Bis;24816394;Horario de atención del local;Recarga;577778.631777756;6139961.04110305
Agencia de Quinielas 62/040;Carabelas 3193 Bis;22083956;Horario de atención del local;Recarga;574715.575977042;6141387.72648803
Agencia de Quinielas 09/032;Av 8 De Octubre 3656;95227568;Horario de atención del local;Recarga;578370.5644452787;6140341.504154774
Agencia de Quinielas 13/034;Soler, Mariano 3228;22082740;Horario de atención del local;Recarga;574667.132079618;6141567.45499141
Agencia de Quinielas 12/021;Piran;25062406;Horario de atención del local;Recarga;580221.901241651;6140481.96141478
Agencia de Quinielas 91/013;Rondeau, Av. Gral. Jose 2224;29248890 098659226;Horario de atención del local;Recarga;573732.338657227;6138986.50459059
Agencia de Quinielas 53/033;Berro, Presidente 2687;24864401;Horario de atención del local;Recarga;576665.418969007;6138550.72219716
Agencia de Quinielas 53/044;Av 8 De Octubre 2524;24802117;Horario de atención del local;Recarga;576523.961969297;6138561.66591696
Agencia de Quinielas 54/015;Av Italia 3794;25075755;Horario de atención del local;Recarga;579483.461745455;6139143.76627621
Agencia de Quinielas 61/034;De Medina, Felix 4657;25227760;Horario de atención del local;Recarga;580697.744919673;6140503.73265783
Agencia de Quinielas 79/013;Colombes 1431;26137011;Horario de atención del local;Recarga;580795.765394409;6138395.74007552
Agencia de Quinielas 55/041;Quijano Carlos 1333;29013191;Horario de atención del local;Recarga;574077.730188392;6137062.94392512
Agencia de Quinielas 56/016;Av Agraciada 4244;23095355;Horario de atención del local;Recarga;571276.412832123;6142639.84598601
Agencia de Quinielas 56/023;Pauru, Cno. 2260;095963392;Horario de atención del local;Recarga;561709.431809812;6148556.28775612
La Milagrosa;Bv Jose Batlle Y Ordoñez 5630;23588085;Horario de atención del local;Recarga;572887.089849273;6144691.87920498
Agencia de Quinielas 57/022;Av Gral Flores 3361;22006890 097184096;Horario de atención del local;Recarga;575727.127748489;6141479.34532972
Agencia de Quinielas 93/015;Carrasco, Camino 4733 Bis;25255729;Horario de atención del local;Recarga;580816.197157011;6140896.8519461
Agencia de Quinielas 60/012;Garcia, Martin 1625;22041735;Horario de atención del local;Recarga;574615.233177172;6139203.48932872
Agencia de Quinielas 61/002;Av Gral Rivera 2780;27094908;Horario de atención del local;Recarga;577223.235098231;6137363.21489229
Agencia de Quinielas 62/006;Av 18 De Julio;24097956;Horario de atención del local;Recarga;575392.288616345;6137561.48319268
Agencia de Quinielas 30/019;Figueredo, Santiago 4036;22156009;Horario de atención del local;Recarga;575581.533041439;6143110.96516552
Salon Manor;Piccioli, Geronimo 2899;25117873;Horario de atención del local;Recarga;579107.981315368;6142395.80497413
Agencia de Quinielas 13/006;Olmedo, Jose Joaquin De 3995;091225768;Horario de atención del local;Recarga;576770.355439737;6142348.36872372
Agencia de Quinielas 52/008;Arrieta Francisco 3028;24806350;Horario de atención del local;Recarga;576618.163407924;6140634.9302725
Agencia de Quinielas 55/019;Alvarez, Francisco S. 1371;23208525;Horario de atención del local;Recarga;570524.120936581;6147122.49913294
Agencia de Quinielas 60/011;Faramiñan 628;23061606;Horario de atención del local;Recarga;569559.524516022;6144033.00861437
Agencia de Quinielas 76/017;Besnes E Irigoyen, Cno. 5139;23211332;Horario de atención del local;Recarga;572306.399549183;6147599.04488449
Agencia de Quinielas 91/030;Rafael 42;25134101;Horario de atención del local;Recarga;579882.0041865;6146076.16732981
Agencia de Quinielas 20/024;Rivera, Av. Gral. 3290;26226817;Horario de atención del local;Recarga;578229.518406618;6137420.76503319
Agencia de Quinielas 11/015;Berthelot, Marcelino 1678;22006043;Horario de atención del local;Recarga;574718.066855356;6139419.13788316
Agencia de Quinielas 13/015;Marmaraja 2199 Bis;29254844;Horario de atención del local;Recarga;574124.223922347;6139328.80914726
Agencia de Quinielas 07/013;Pasteur 5109;23553135;Horario de atención del local;Recarga;571806.937857762;6146600.40015304
Agencia de Quinielas 07/012;Mackinnon, Dr. R. 5065;22112030;Horario de atención del local;Recarga;575873.613311456;6145317.77884021
Agencia de Quinielas 50/019;Republica 2047 Bis;29240437;Horario de atención del local;Recarga;574925.403410621;6138623.58123002
Agencia de Quinielas 50/005;Ferrer Serra, Salvador 2151;24030598;Horario de atención del local;Recarga;575725.931221987;6138285.05071777
Agencia de Quinielas 80/006;Artigas, Juan Antonio 4128 Bis;23078806;Horario de atención del local;Recarga;571455.849143329;6142473.09078457
Agencia de Quinielas 17/018;Ferreri Odetto, Carlos B. 4561;23085479                      ;Horario de atención del local;Recarga;571988.457086117;6144091.89058859
Agencia de Quinielas 63/009;Brasil, Av. 2838;27070832;Horario de atención del local;Recarga;577378.645045934;6136627.81053614
Agencia de Quinielas 66/012;Hermano Damasceno 1923;29242062;Horario de atención del local;Recarga;574263.862673093;6138101.17447311
Agencia de Quinielas 89/022;Marconi 1293;23555008;Horario de atención del local;Recarga;572326.100956229;6145375.82842702
Agencia de Quinielas 13/032;Miguelete 1611;29240194;Horario de atención del local;Recarga;574613.148438455;6138129.60822643
Agencia de Quinielas 81/000;Rivera, Av. Gral. 2204;24087279;Horario de atención del local;Recarga;576035.154059482;6137482.52090731
Agencia de Quinielas 90/027;Sayago, Av. 1533;23593060;Horario de atención del local;Recarga;572644.062937535;6145906.9845543
Agencia de Quinielas 89/010;Pantanoso 4618;23546582;Horario de atención del local;Recarga;573293.072220282;6146177.86206414
Agencia de Quinielas 83/018;Gadea, Santiago 3440;24865916                      ;Horario de atención del local;Recarga;578149.147046658;6138569.44743765
Agencia de Quinielas 46/004;Henderson 1865;23554371;Horario de atención del local;Recarga;573269.652594248;6146669.46393892
Agencia de Quinielas 22/000;Av. 18 De Julio 2258;24098968;Horario de atención del local;Recarga;576138.674595174;6137899.55423034
Agencia de Quinielas 76/005;Machado, Antonio 2171;22030890                      ;Horario de atención del local;Recarga;576019.719738556;6140971.52536933
Agencia de Quinielas 17/031;Becquer, Gustavo Adolfo 1496;23583397                      ;Horario de atención del local;Recarga;573005.990280776;6145717.79296821
Agencia de Quinielas 91/000;Av. 18 De Julio 1552;24084180;Horario de atención del local;Recarga;574705.784933595;6137243.38118911
Agencia de Quinielas 13/005;Pedernal 2202;099967640                     ;Horario de atención del local;Recarga;576014.041505393;6140496.67474207
Agencia de Quinielas 26/048;Ariel, Cno. 5367;23551587;Horario de atención del local;Recarga;570583.24278182;6145878.82171609
Agencia de Quinielas 11/013;Paullier, Juan 2850;22059922;Horario de atención del local;Recarga;575651.201811582;6140487.70170616
Agencia de Quinielas 60/000;Lavalleja, Liber.Brig.Gral. 1644;29005806;Horario de atención del local;Recarga;573859.908394832;6137695.64686353
Agencia de Quinielas 76/011;Orticochea, Maria 5181;099082171                     ;Horario de atención del local;Recarga;570841.180824702;6144783.43790755
Agencia de Quinielas 91/006;Perez De Marchena, Juan 5223;23201370 096168525;Horario de atención del local;Recarga;572275.169690808;6147989.11592763
Agencia de Quinielas 26/033;Torres, Domingo 4643 Bis;23073703;Horario de atención del local;Recarga;571797.286341049;6144024.18571098
Agencia de Quinielas 17/019;Edison, Cno. 0;091430170;Horario de atención del local;Recarga;570411.676961242;6147368.3469178
Agencia de Quinielas 50/028;Hocquard 1905;24030867;Horario de atención del local;Recarga;575302.739149512;6138893.09031553
Agencia de Quinielas 80/012;Aguiar, Gorgonio 2028;23117620;Horario de atención del local;Recarga;567508.471879454;6142662.8336773
Agencia de Quinielas 77/025;Cibils, Cno. 4757;099800996;Horario de atención del local;Recarga;566904.860928936;6141352.06480706
Agencia de Quinielas 77/026;Buffa Cno. 2546 Bis;23152350                      ;Horario de atención del local;Recarga;566502.871727909;6141252.96168249
Agencia de Quinielas 85/037;Flores, Av. Gral. 3141;22092741;Horario de atención del local;Recarga;575466.149754509;6141090.55781069
Agencia de Quinielas 66/028;Ramirez, Av. Gonzalo 1958;24181785;Horario de atención del local;Recarga;575596.625330965;6136415.80056097
Agencia de Quinielas 70/028;Rio Negro 1346;29000482;Horario de atención del local;Recarga;573681.831369265;6137039.52438931
Agencia de Quinielas 94/008;Fernandez Crespo, Av. Daniel 1828;24014567;Horario de atención del local;Recarga;574980.786138913;6138022.12973001
Agencia de Quinielas 50/007;De Amezaga, Dr. Juan J. 1807;22045530;Horario de atención del local;Recarga;574999.304600578;6139166.85690751
Agencia de Quinielas 83/004;Av. 8 De Octubre 2738;24863214;Horario de atención del local;Recarga;576830.494505755;6139012.92557177
Agencia de Quinielas 11/017;Aramburu, Domingo 1715;91316209;Horario de atención del local;Recarga;574897.194367503;6139598.56080968
Agencia de Quinielas 56/043;Basagoity, Dr. Vicente 4610;23083365;Horario de atención del local;Recarga;570198.188311796;6142959.03172481
Agencia de Quinielas 77/004;Batlle Berres, Av. Luis 4719;23083787;Horario de atención del local;Recarga;569887.781474741;6142847.50625981
Agencia de Quinielas 85/016;San Martin, Av. Gral. 3165;22083982;Horario de atención del local;Recarga;574842.631439062;6141309.16654757
Agencia de Quinielas 62/030;San Martin, Av. Gral. 3030;96424514;Horario de atención del local;Recarga;574777.995885831;6141016.79395879
Agencia de Quinielas 77/006;De Leon, Fray Luis 2422;23126609;Horario de atención del local;Recarga;566527.848111184;6143535.04465071
Almacen La Torre;Pasaje Maracana 139;23180310;Horario de atención del local;Recarga;567327.178657439;6143433.05583749
Agencia de Quinielas 77/022;Tomkinson, Cno. 2502;;Horario de atención del local;Recarga;566270.79769373;6144628.73919139
Agencia de Quinielas 80/011;Cibils, Cno. 5802;94172150;Horario de atención del local;Recarga;566583.680406124;6143354.75552375
Agencia de Quinielas 33/019;Los Cedros 2386;23156657;Horario de atención del local;Recarga;566664.280682032;6143437.67921218
Agencia de Quinielas 42/006;Alfonso X El Sabio 6093;23180216;Horario de atención del local;Recarga;566119.290575528;6143678.62486119
Agencia de Quinielas 80/017;Palmeras, Las. 038;23180315;Horario de atención del local;Recarga;567272.276825586;6143239.9338492
Agencia de Quinielas 77/038;Lafone, Samuel 2308;23127968;Horario de atención del local;Recarga;567005.76093929;6141400.45722859
Agencia de Quinielas 28/035;Guaviyu 3214;22002473;Horario de atención del local;Recarga;575172.231817857;6141162.51246082
Agencia de Quinielas 13/000;Blandengues 1551;22097119;Horario de atención del local;Recarga;574515.051106837;6139661.01370753
Agencia de Quinielas 63/000;Ferrer Serra, Salvador 2320;24012911;Horario de atención del local;Recarga;576140.92899339;6138291.25572746
Agencia de Quinielas 13/026;Batlle Y Ordoñez, Br. Jose 4754;22166281;Horario de atención del local;Recarga;574468.72090286;6143293.41857582
Agencia de Quinielas 42/030;Belloni, Av. Jose 6350 Bis;93857730;Horario de atención del local;Recarga;579114.076826047;6150655.77932728
Agencia de Quinielas 58/021;Isla De Flores 1750;24195299;Horario de atención del local;Recarga;575153.122663393;6136565.7412044
Agencia de Quinielas 08/017;Larravide 2480;25070093;Horario de atención del local;Recarga;578760.189201883;6140510.39887612
Agencia de Quinielas 14/028;Belloni, Av. Jose 3402;25144533;Horario de atención del local;Recarga;579043.260743078;6143827.49639873
Agencia de Quinielas 63/033;Ayacucho 3370;24878214;Horario de atención del local;Recarga;578148.578043875;6138342.3154962
Agencia de Quinielas 48/026;Roldos Y Pons, Jaime 4166;22153092;Horario de atención del local;Recarga;577416.587014699;6142466.59143473
Agencia de Quinielas 55/022;Minas 1276;24103226;Horario de atención del local;Recarga;574957.874906371;6137010.30193308
Salon Tuli;Belloni, Av. Jose 4167;22154896;Horario de atención del local;Recarga;578531.458204374;6145647.97596515
El Portal De La Suerte;25 De Mayo 633;29159470;Horario de atención del local;Recarga;572815.222294516;6137208.27521908
Agencia de Quinielas 55/003;Dr. Lorenzo Carnelli 951;24104825;Horario de atención del local;Recarga;574881.264879473;6136379.76383268
Agencia de Quinielas 79/041;Colombes 1500;26199789;Horario de atención del local;Recarga;580746.830838933;6138525.15739949
Agencia de Quinielas 44/006;Alberto Zum Felde 1591;26130220;Horario de atención del local;Recarga;582949.876335031;6138828.0851187
Agencia de Quinielas 41/001;Amsterdam 1451;26135917;Horario de atención del local;Recarga;580942.812235999;6138283.86572396
Agencia de Quinielas 89/047;Cno. Cnel. Raiz Esq. Bvar. Apar. Saravia;23554179;Horario de atención del local;Recarga;573107.694591552;6145776.53836004
Agencia de Quinielas 53/010;Ing. Jose Serrato 3693;22160175;Horario de atención del local;Recarga;576683.124941434;6142783.29417437
Agencia de Quinielas 89/001;Plaza Vidiella. 5632 Bis;23209378;Horario de atención del local;Recarga;571196.879273115;6148236.09416556
Agencia de Quinielas 89/028;Cno. Ariel 4945;23576560;Horario de atención del local;Recarga;571438.721781357;6145249.69871323
Agencia de Quinielas 21/017;Guipuzcoa 433;;Horario de atención del local;Recarga;577073.721545629;6135093.8834626
Agencia de Quinielas 89/000;Bvar. Aparicio Saravia 4620;23597956;Horario de atención del local;Recarga;573019.955328548;6145898.23327584
Agencia de Quinielas 49/002;Dr. Luis Piera 2011;24105468;Horario de atención del local;Recarga;575723.362853826;6136253.05067289
Agencia de Quinielas 22/028;Agustin Abreu 2472;24817800;Horario de atención del local;Recarga;577732.967396916;6139835.77211763
Agencia de Quinielas 94/014;Gil 816;23085577;Horario de atención del local;Recarga;572172.523592665;6140657.62663611
Agencia de Quinielas 09/004;Br. Jose Batlle Y Ordoñez 2692;25076240;Horario de atención del local;Recarga;578135.327031992;6139798.07691013
Agencia de Quinielas 01/012;Av. Damaso Larrañaga ;24816024;Horario de atención del local;Recarga;577491.694075856;6139771.71739883
Agencia de Quinielas 21/033;Tomas Diago 889;27115837;Horario de atención del local;Recarga;577492.2629019;6136084.5143234
Agencia de Quinielas 74/002;Jaime Zudañez 2894;27107752;Horario de atención del local;Recarga;577595.792630052;6135828.88320898
Agencia de Quinielas 63/007;Juan Paullier 1698;24003818;Horario de atención del local;Recarga;575870.901657307;6138070.13401377
Agencia de Quinielas 32/009;Av. Millan 3173;22006853;Horario de atención del local;Recarga;573863.577206473;6141231.05181808
Agencia de Quinielas 36/005;Carmelo 1361;23364642;Horario de atención del local;Recarga;573797.056196075;6141971.43379939
Agencia de Quinielas 32/017;Av. Joaquin Suarez 3386;22035270;Horario de atención del local;Recarga;573478.153390033;6141429.34418405
Agencia de Quinielas 17/006;Carlos Quijano 1258;29026971;Horario de atención del local;Recarga;574101.242841488;6136931.55209573
Peluqueria Ferreira Hnos.;Convencion 1391;29007564;Horario de atención del local;Recarga;573347.248416203;6137140.14303909
Agencia de Quinielas 03/008;Av. Joaquin Suarez 3258;22043034;Horario de atención del local;Recarga;573447.041455093;6141083.2382197
Agencia de Quinielas 02/012;Miguelete 2301;24094187;Horario de atención del local;Recarga;575936.988741028;6138634.4298747
Agencia de Quinielas 05/028;Edison, Cno.;23218964;Horario de atención del local;Recarga;570428.317335486;6147355.57632085
Agencia de Quinielas 11/007;Defensa 2450;096546659;Horario de atención del local;Recarga;575350.309270861;6139676.35800727
Agencia de Quinielas 11/036;Blandengues 1702;094500248;Horario de atención del local;Recarga;574732.068877566;6139533.47796938
Agencia de Quinielas 19/038;26 De Marzo 1044;27090348;Horario de atención del local;Recarga;577474.547908614;6136408.95592055
Agencia de Quinielas 24/007;Italia, Av.;098174828;Horario de atención del local;Recarga;577417.162007381;6138739.69962345
Agencia de Quinielas 25/028;Colonia 2267 Bis;24024870;Horario de atención del local;Recarga;576113.263758211;6138052.26153078
Agencia de Quinielas 31/017;Batlle Y Ordoñez, Br. Jose 6395 Bis;23561691;Horario de atención del local;Recarga;570002.671667073;6146737.11170304
Agencia de Quinielas 38/010;Patria 553;27122224;Horario de atención del local;Recarga;576279.326754704;6135679.14685816
Agencia de Quinielas 77/012;Turquia 4341;23114514;Horario de atención del local;Recarga;568504.628675015;6140763.54253153
Agencia de Quinielas 91/032;Minas 1340;24019846;Horario de atención del local;Recarga;574969.134200691;6137113.24122534
Agencia de Quinielas 11/035;Av Dr Luis Alberto De Herrera 3459;22037079;Horario de atención del local;Recarga;575782.735186173;6141317.29626794
Agencia de Quinielas 13/027;Av Dr Luis Alberto De Herrera 4127;22007598;Horario de atención del local;Recarga;574345.349742534;6142060.71551276
Agencia de Quinielas 38/009;Frugoni, Emilio 1301;099562159;Horario de atención del local;Recarga;575339.700484971;6137078.36644867
Agencia de Quinielas 15/045;Camambu 4255;23071676;Horario de atención del local;Recarga;569556.994961185;6141002.14881672
Agencia de Quinielas 15/047;Av Carlos Maria Ramirez 835 Bis;23049159;Horario de atención del local;Recarga;569895.963479447;6141595.23194645
Agencia de Quinielas 40/018;Colonia 1748;24032896;Horario de atención del local;Recarga;574985.184899623;6137499.72746466
Agencia de Quinielas 18/029;De La Aljaba, Av 4098 Bis;22223545;Horario de atención del local;Recarga;578950.523319694;6148001.12046503
Agencia de Quinielas 20/006;Av Gral Rivera 2909;27076776;Horario de atención del local;Recarga;577454.79671726;6137388.65106279
Agencia de Quinielas 81/020;Castro, Cno. 442;23048273;Horario de atención del local;Recarga;572347.254418491;6142923.02128209
Agencia de Quinielas 40/005;Jacquard 175;23051689;Horario de atención del local;Recarga;571831.034180318;6142590.37733839
Agencia de Quinielas 52/018;Av Dr Luis Alberto De Herrera 3059;24876039;Horario de atención del local;Recarga;576738.674328577;6140661.98038515
Agencia de Quinielas 74/050;Ellauri, Jose L. 595;27117033;Horario de atención del local;Recarga;577058.495417892;6135563.25860391
Agencia de Quinielas 77/009;Av Carlos Maria Ramirez 140;23070205;Horario de atención del local;Recarga;570953.2833832285;6142656.660286045
Agencia de Quinielas 31/038;Av Dr Luis Alberto De Herrera 3206;24870212;Horario de atención del local;Recarga;576447.597719261;6140896.42966359
Agencia de Quinielas 59/014;Paullier, Juan 1851;098770630;Horario de atención del local;Recarga;575819.032784451;6138393.8548264
Agencia de Quinielas 14/050;Espronceda 2195;25091787;Horario de atención del local;Recarga;579640.142632009;6140325.33736527
Agencia de Quinielas 78/010;Gonzalez, Meliton 1345;26286320;Horario de atención del local;Recarga;579384.939563747;6137657.80146866
Agencia de Quinielas 78/029;Verdi 4277;26195374;Horario de atención del local;Recarga;580347.958331985;6138099.45670329
Agencia de Quinielas 13/016;Chicago 5281;098319146;Horario de atención del local;Recarga;575358.435015084;6146324.38136248
Agencia de Quinielas 03/007;Av Millan 2939;22089499;Horario de atención del local;Recarga;574047.056381623;6140827.31810713
Agencia de Quinielas 32/039;Av Agraciada 3359;23062699;Horario de atención del local;Recarga;572731.786612648;6141058.55819175
Agencia de Quinielas 80/013;Turquia 4270;23148883;Horario de atención del local;Recarga;568536.2759429488;6140595.619836412
Agencia de Quinielas 80/036;Santa Cruz De La Sierra 1737;95014323;Horario de atención del local;Recarga;566950.307384965;6140816.84795971
Agencia de Quinielas 81/018;Paraguay 1406;29020328;Horario de atención del local;Recarga;573769.287365311;6137222.14627312
Agencia de Quinielas 81/050;Av Luis Batlle Berres 6735;23127270;Horario de atención del local;Recarga;566263.0378375802;6144997.433959512
Agencia de Quinielas 83/003;Av 8 De Octubre 2691;24803411;Horario de atención del local;Recarga;576708.901874112;6138876.08916478
Agencia de Quinielas 58/005;Durazno 1004;29088354;Horario de atención del local;Recarga;573639.666479842;6136544.78164602
Agencia de Quinielas 83/007;Av 8 De Octubre 3021;24817239;Horario de atención del local;Recarga;577198.85372665;6139552.933698
Agencia de Quinielas 83/020;Av Dr Luis Alberto De Herrera 2749;97972427;Horario de atención del local;Recarga;574708.123163286;6144768.94207558
Agencia de Quinielas 83/022;Cibils, Jaime 2653;24814274;Horario de atención del local;Recarga;576966.165144384;6139519.403141273
Agencia de Quinielas 83/043;Ellauri, Jose L. 350;27111281;Horario de atención del local;Recarga;576742.270495653;6135066.50560809
Kiosco Ejido - Ejido Y Soriano;Ejido ;29023051;Horario de atención del local;Recarga;574316.743682387;6136928.36182671
Agencia de Quinielas 61/035;Santiago De Chile 1230;29082901;Horario de atención del local;Recarga;574436.779326097;6136881.47071601
Agencia de Quinielas 61/012;Canelones  Esq. Ejido;29009418;Horario de atención del local;Recarga;574337.06044674;6136797.66067409
Agencia de Quinielas 06/034;Canelones 1021;29087444;Horario de atención del local;Recarga;573629.296463039;6136777.32318763
Agencia de Quinielas 20/017;Santiago De Chile 1286;29032985;Horario de atención del local;Recarga;574430.499984903;6136985.55141223
Agencia de Quinielas 90/004;Llupes, Jose 6718;23135028;Horario de atención del local;Recarga;568024.004896883;6144970.01292696
Agencia de Quinielas 88/015;28 De Febrero 1044;23580534;Horario de atención del local;Recarga;571513.00145441;6145253.00146814
Agencia de Quinielas 88/021;Sagasta, Mariano 66;98012544;Horario de atención del local;Recarga;571419.528524295;6142539.916370617
Agencia de Quinielas 88/027;Av Millan 3815;23368071;Horario de atención del local;Recarga;573448.119736469;6142506.13614286
Agencia de Quinielas 88/038;Av Gral Eugenio Garzon 1205;23558468;Horario de atención del local;Recarga;571314.71070098;6145871.72278862
Agencia de Quinielas 89/024;Av Gral Eugenio Garzon 1927 Bis;23200910;Horario de atención del local;Recarga;571101.709792672;6148266.99728532
Agencia de Quinielas 32/038;Gowland 167;23087103;Horario de atención del local;Recarga;570063.535594258;6143068.30390598
Agencia de Quinielas 91/012;Av 18 De Julio 1750;24089404;Horario de atención del local;Recarga;575033.2629392692;6137401.625263016
Agencia de Quinielas 56/027;Susviela De Rodriguez, Agueda 359;23070299;Horario de atención del local;Recarga;569582.307498276;6143469.00385581
Agencia de Quinielas 93/005;Av 8 De Octubre 4544 Bis;25087817;Horario de atención del local;Recarga;579191.584095036;6141925.06169819
Agencia de Quinielas 93/006;Cortes, Mateo 4946;25136450;Horario de atención del local;Recarga;579584.615807259;6142666.17098359
Agencia de Quinielas 08/042;Comercio 2349;25065720;Horario de atención del local;Recarga;578617.370863793;6140025.52299747
Agencia de Quinielas 93/031;Cabrera, Jose Antonio 4002;25071373;Horario de atención del local;Recarga;579090.395887288;6140666.26017724
Agencia de Quinielas 77/008;Av Luis Batlle Berres 4556;23089669;Horario de atención del local;Recarga;570180.019589031;6142675.70146418
Agencia de Quinielas 93/035;Av 8 De Octubre  Esq. Agustin Abreu;24815112;Horario de atención del local;Recarga;577708.5958659753;6139882.448806785
Agencia de Quinielas 55/020;Albo, Av. Dr. Manuel 2715;095848181;Horario de atención del local;Recarga;576776.343794674;6138789.01685799
